# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   15       1.152580995349e-10       9.105621841804e-16       1.515846385632e-13       0.000000000000e+00       5.433702540159e-10       5.074694242951e-11       4.960475879730e-14 
   16       1.164857599010e-10       8.294043125945e-16       1.602138792867e-13       0.000000000000e+00       4.885461484761e-10       4.611727559220e-11       7.263364155139e-15 
   17       1.178213969043e-10       8.287637014821e-16       1.706832091703e-13       0.000000000000e+00       4.415160341461e-10       4.212051396642e-11      -2.790444254623e-14 
   18       1.192600000447e-10       8.835307367842e-16       1.812288605703e-13       0.000000000000e+00       4.008506797939e-10       3.859171424424e-11      -5.238554572559e-14 
   19       1.208352818479e-10       9.539830414706e-16       1.906850652954e-13       0.000000000000e+00       3.654378698975e-10       3.544065458743e-11      -6.516278392616e-14 
   20       1.224798418206e-10       1.013987670500e-15       1.984657162265e-13       0.000000000000e+00       3.344024098698e-10       3.267448592764e-11      -6.707331776280e-14 
   21       1.241726882550e-10       1.062752893143e-15       2.046473495820e-13       0.000000000000e+00       3.070460577711e-10       3.022793795621e-11      -6.045169052369e-14 
   22       1.259787703829e-10       1.118695602089e-15       2.095782418000e-13       0.000000000000e+00       2.828062925916e-10       2.802761173113e-11      -4.836116165111e-14 
   23       1.278016163397e-10       1.204620454781e-15       2.137740684102e-13       0.000000000000e+00       2.612250054041e-10       2.601651082206e-11      -3.403736224356e-14 
   24       1.296973685127e-10       1.335004912985e-15       2.177887413585e-13       0.000000000000e+00       2.419266253356e-10       2.417475062773e-11      -2.038766042079e-14 
   25       1.316091748315e-10       1.511824951497e-15       2.221308042679e-13       0.000000000000e+00       2.246001992815e-10       2.254187431134e-11      -9.406085479747e-15 
   26       1.335793575119e-10       1.728461611480e-15       2.271745169120e-13       0.000000000000e+00       2.089862673273e-10       2.109218735677e-11      -2.291819656701e-15 
   27       1.356332020093e-10       1.976634131076e-15       2.328668096308e-13       0.000000000000e+00       1.948669446529e-10       1.977429623398e-11       6.364002602958e-16 
   28       1.376260559378e-10       2.251560988914e-15       2.391440968668e-13       0.000000000000e+00       1.820579118555e-10       1.855757226679e-11      -1.927924479551e-16 
   29       1.397307425370e-10       2.553060849748e-15       2.456701608323e-13       0.000000000000e+00       1.704025905035e-10       1.745353486910e-11      -3.810594640864e-15 
   30       1.418209721832e-10       2.882402618220e-15       2.520395186707e-13       0.000000000000e+00       1.597671401470e-10       1.644875446857e-11      -9.171842654124e-15 
   31       1.439326038521e-10       3.239103845469e-15       2.579365235240e-13       0.000000000000e+00       1.500382667824e-10       1.552033399239e-11      -1.513280468862e-14 
   32       1.461636690793e-10       3.620811791154e-15       2.625619606557e-13       0.000000000000e+00       1.411166784870e-10       1.468632224022e-11      -2.022596345164e-14 
   33       1.483005895461e-10       4.024433574557e-15       2.656156168381e-13       0.000000000000e+00       1.329161456644e-10       1.391789993840e-11      -2.358213256198e-14 
   34       1.505388113444e-10       4.448120844299e-15       2.669514186029e-13       0.000000000000e+00       1.253613461287e-10       1.320123101539e-11      -2.482525498745e-14 
   35       1.528097870822e-10       4.892966237079e-15       2.662456443833e-13       0.000000000000e+00       1.183882516076e-10       1.248564306344e-11      -2.450879688935e-14 
   36       1.550201276695e-10       5.362913611184e-15       2.638066813680e-13       0.000000000000e+00       1.119397698221e-10       1.185463343125e-11      -2.233476568627e-14 
   37       1.573712178299e-10       5.863398504133e-15       2.596295506672e-13       0.000000000000e+00       1.059648683449e-10       1.129631115309e-11      -1.878724586421e-14 
   38       1.596831167973e-10       6.399173695301e-15       2.537381311153e-13       0.000000000000e+00       1.004188150532e-10       1.074780538142e-11      -1.495429849338e-14 
   39       1.620058352588e-10       6.973030242128e-15       2.465549220147e-13       0.000000000000e+00       9.526355861719e-11       1.021740532103e-11      -1.144663359194e-14 
   40       1.644278458331e-10       7.585744255551e-15       2.380012805093e-13       0.000000000000e+00       9.046340430587e-11       9.749584489887e-12      -8.354708973943e-15 
   41       1.667720699069e-10       8.236657691342e-15       2.283029208333e-13       0.000000000000e+00       8.598667742300e-11       9.316909778592e-12      -6.283284038358e-15 
   42       1.691960593654e-10       8.924598311398e-15       2.177507398069e-13       0.000000000000e+00       8.180664490885e-11       8.887555317950e-12      -5.725794050780e-15 
   43       1.716949200336e-10       9.648587111034e-15       2.059657096911e-13       0.000000000000e+00       7.789803860805e-11       8.505143957544e-12      -5.910870097882e-15 
   44       1.740990288417e-10       1.040908337347e-14       1.929032221081e-13       0.000000000000e+00       7.423783786257e-11       8.141690319604e-12      -6.883570175638e-15 
   45       1.765810524977e-10       1.120742943919e-14       1.785690951332e-13       0.000000000000e+00       7.080698993148e-11       7.784290785787e-12      -8.645161758284e-15 
   46       1.790906500277e-10       1.204331602415e-14       1.625917780661e-13       0.000000000000e+00       6.758597084795e-11       7.468592664897e-12      -1.026958353677e-14 
   47       1.816233206736e-10       1.291655231735e-14       1.448314486769e-13       0.000000000000e+00       6.456067368302e-11       7.185145064495e-12      -1.145094235031e-14 
   48       1.842019856405e-10       1.382702966229e-14       1.252352777850e-13       0.000000000000e+00       6.171401519913e-11       6.910208633263e-12      -1.212736430784e-14 
   49       1.867936079112e-10       1.477453580275e-14       1.037235199573e-13       0.000000000000e+00       5.903414159080e-11       6.638748037495e-12      -1.226868982665e-14 
   50       1.893636901527e-10       1.575900910616e-14       8.021831753163e-14       0.000000000000e+00       5.650739665409e-11       6.372388551628e-12      -1.186392105901e-14 
   51       1.919598204385e-10       1.678143906482e-14       5.469304358075e-14       0.000000000000e+00       5.412393676056e-11       6.120392544775e-12      -1.093680018694e-14 
   52       1.946330691974e-10       1.784296876601e-14       2.717605856504e-14       0.000000000000e+00       5.187242415090e-11       5.891271662171e-12      -9.566639603945e-15 
   53       1.973329223312e-10       1.894389545101e-14      -2.142517197008e-15       0.000000000000e+00       4.974464350102e-11       5.678495919280e-12      -8.004840269295e-15 
   54       2.000007426699e-10       2.008415088405e-14      -3.306189092836e-14       0.000000000000e+00       4.773120576185e-11       5.472696179331e-12      -6.548917106175e-15 
   55       2.026914167274e-10       2.126323491243e-14      -6.561241708772e-14       0.000000000000e+00       4.582517373042e-11       5.274428626543e-12      -5.390158943824e-15 
   56       2.054684948479e-10       2.248041243727e-14      -9.984524300082e-14       0.000000000000e+00       4.401865783224e-11       5.086904276085e-12      -4.673065618000e-15 
   57       2.082764581312e-10       2.373476590044e-14      -1.356057027439e-13       0.000000000000e+00       4.230577718032e-11       4.912791217489e-12      -4.421874872606e-15 
   58       2.110485632218e-10       2.502551313057e-14      -1.727343319940e-13       0.000000000000e+00       4.067988400389e-11       4.752847779270e-12      -4.621148336869e-15 
   59       2.138374972851e-10       2.635302027988e-14      -2.113534409819e-13       0.000000000000e+00       3.913594486679e-11       4.600184400592e-12      -5.239275347956e-15 
   60       2.167081508138e-10       2.771798035157e-14      -2.516425252197e-13       0.000000000000e+00       3.766830343032e-11       4.447421116013e-12      -6.198587071238e-15 
   61       2.196172229795e-10       2.912099442174e-14      -2.936407510539e-13       0.000000000000e+00       3.627266256744e-11       4.296986508600e-12      -7.263618058949e-15 
   62       2.225086000918e-10       3.056229818102e-14      -3.373581644004e-13       0.000000000000e+00       3.494422251779e-11       4.153578974181e-12      -8.176316278662e-15 
   63       2.254184417162e-10       3.204055880373e-14      -3.828432926274e-13       0.000000000000e+00       3.367928635515e-11       4.019178036837e-12      -8.844533687285e-15 
   64       2.283937602544e-10       3.355419882513e-14      -4.301435266578e-13       0.000000000000e+00       3.247374772560e-11       3.894205912228e-12      -9.229907193908e-15 
   65       2.314074674052e-10       3.510288952392e-14      -4.792442866232e-13       0.000000000000e+00       3.132445527264e-11       3.775580340875e-12      -9.341902175829e-15 
   66       2.344221819390e-10       3.668632968567e-14      -5.301126226678e-13       0.000000000000e+00       3.022789074280e-11       3.659827424332e-12      -9.212454194496e-15 
   67       2.374552860431e-10       3.830289332218e-14      -5.827191088723e-13       0.000000000000e+00       2.918115370802e-11       3.547140322076e-12      -8.903436198482e-15 
   68       2.405337291330e-10       3.995075787660e-14      -6.370298954828e-13       0.000000000000e+00       2.818111690591e-11       3.438590913127e-12      -8.495758580841e-15 
   69       2.436561428546e-10       4.162922032977e-14      -6.929969754157e-13       0.000000000000e+00       2.722575941167e-11       3.334713804628e-12      -8.096015877475e-15 
   70       2.468122777766e-10       4.333787335473e-14      -7.505641927555e-13       0.000000000000e+00       2.631259325840e-11       3.235869311273e-12      -7.827589577103e-15 
   71       2.499927008742e-10       4.507623329852e-14      -8.096788241900e-13       0.000000000000e+00       2.543864069161e-11       3.142151859248e-12      -7.798249899571e-15 
   72       2.531974560723e-10       4.684350122456e-14      -8.703220691896e-13       0.000000000000e+00       2.460225158807e-11       3.052673679696e-12      -8.005540485986e-15 
   73       2.564289480194e-10       4.863875756719e-14      -9.324842543421e-13       0.000000000000e+00       2.380155086825e-11       2.966135813832e-12      -8.413779153499e-15 
   74       2.596896131656e-10       5.046111472503e-14      -9.961614972227e-13       0.000000000000e+00       2.303426305244e-11       2.881513043914e-12      -8.973428658740e-15 
   75       2.629827072138e-10       5.230998238619e-14      -1.061373670699e-12       0.000000000000e+00       2.229898824828e-11       2.799602729477e-12      -9.594257625825e-15 
   76       2.663116322339e-10       5.418485129119e-14      -1.128149953335e-12       0.000000000000e+00       2.159409985384e-11       2.721752241361e-12      -1.016676067624e-14 
   77       2.696783167631e-10       5.608495112839e-14      -1.196496004180e-12       0.000000000000e+00       2.091767449561e-11       2.648934051997e-12      -1.059866818269e-14 
   78       2.730788094254e-10       5.800840113404e-14      -1.266305126763e-12       0.000000000000e+00       2.026856796336e-11       2.580244323453e-12      -1.090776041759e-14 
   79       2.765068643504e-10       5.995290828202e-14      -1.337431389576e-12       0.000000000000e+00       1.964548368531e-11       2.514136881952e-12      -1.114514422060e-14 
   80       2.799573989836e-10       6.191606672170e-14      -1.409742706261e-12       0.000000000000e+00       1.904688288111e-11       2.449270030931e-12      -1.134682621918e-14 
   81       2.834334885063e-10       6.389551918048e-14      -1.483207186950e-12       0.000000000000e+00       1.847178752744e-11       2.385808187908e-12      -1.146655754287e-14 
   82       2.869405180887e-10       6.588881653854e-14      -1.557821200875e-12       0.000000000000e+00       1.791907959250e-11       2.324334501856e-12      -1.143162611976e-14 
   83       2.904827281820e-10       6.789353118999e-14      -1.633565039337e-12       0.000000000000e+00       1.738745578717e-11       2.265356732818e-12      -1.120105793179e-14 
   84       2.940588581554e-10       6.990778237892e-14      -1.710343308636e-12       0.000000000000e+00       1.687609970262e-11       2.208970117049e-12      -1.088796993753e-14 
   85       2.976657693823e-10       7.192979390806e-14      -1.788034759847e-12       0.000000000000e+00       1.638409360864e-11       2.155138681192e-12      -1.065747069417e-14 
   86       3.013008544548e-10       7.395782557266e-14      -1.866543038787e-12       0.000000000000e+00       1.591036961933e-11       2.103714244243e-12      -1.063493236507e-14 
   87       3.049656219164e-10       7.599045723933e-14      -1.945901963071e-12       0.000000000000e+00       1.545423514095e-11       2.054178768380e-12      -1.072922699184e-14 
   88       3.086626527663e-10       7.802635078953e-14      -2.026187062719e-12       0.000000000000e+00       1.501491042336e-11       2.005857683244e-12      -1.078155851004e-14 
   89       3.123939423553e-10       8.006430123740e-14      -2.107462566380e-12       0.000000000000e+00       1.459149183485e-11       1.958225127552e-12      -1.066222895866e-14 
   90       3.161590750570e-10       8.210366712329e-14      -2.189712496285e-12       0.000000000000e+00       1.418336810586e-11       1.911636009092e-12      -1.041046990721e-14 
   91       3.199567527363e-10       8.414401034460e-14      -2.272899364551e-12       0.000000000000e+00       1.378985203734e-11       1.866704563981e-12      -1.011586090523e-14 
   92       3.237854975562e-10       8.618470636197e-14      -2.356974220972e-12       0.000000000000e+00       1.341017464402e-11       1.823920812662e-12      -9.855637147536e-15 
   93       3.276441754351e-10       8.822410917985e-14      -2.441842410436e-12       0.000000000000e+00       1.304388927859e-11       1.783132183684e-12      -9.629014514586e-15 
   94       3.315315274456e-10       9.026026501722e-14      -2.527392637021e-12       0.000000000000e+00       1.269051521877e-11       1.743984377575e-12      -9.413269192375e-15 
   95       3.354459966603e-10       9.229116476091e-14      -2.613507174642e-12       0.000000000000e+00       1.234940775097e-11       1.706076558192e-12      -9.183557406751e-15 
   96       3.393862860394e-10       9.431455611017e-14      -2.700066175889e-12       0.000000000000e+00       1.201987268397e-11       1.669055018021e-12      -8.920527730709e-15 
   97       3.433531493269e-10       9.632734953017e-14      -2.786961586785e-12       0.000000000000e+00       1.170154143966e-11       1.632912844764e-12      -8.634551681850e-15 
   98       3.473478418967e-10       9.832612452091e-14      -2.874085040419e-12       0.000000000000e+00       1.139404027653e-11       1.597731558820e-12      -8.344937664851e-15 
   99       3.513715711568e-10       1.003073066008e-13      -2.961323537782e-12       0.000000000000e+00       1.109687075411e-11       1.563589749040e-12      -8.072616799039e-15 
  100       3.554250854353e-10       1.022677178584e-13      -3.048577631085e-12       0.000000000000e+00       1.080949366231e-11       1.530549754681e-12      -7.835541890796e-15 
  101       3.595073831970e-10       1.042063227401e-13      -3.135819028907e-12       0.000000000000e+00       1.053160331624e-11       1.498615984347e-12      -7.634059265291e-15 
  102       3.636168147383e-10       1.061227230975e-13      -3.223040983928e-12       0.000000000000e+00       1.026288410510e-11       1.467770375162e-12      -7.463551883708e-15 
  103       3.677514646942e-10       1.080166304190e-13      -3.310240910573e-12       0.000000000000e+00       1.000292267728e-11       1.437984663332e-12      -7.318884620323e-15 
  104       3.719096010107e-10       1.098875024577e-13      -3.397403824030e-12       0.000000000000e+00       9.751275310999e-12       1.409209425097e-12      -7.194936821908e-15 
  105       3.760911096694e-10       1.117333890806e-13      -3.484449787890e-12       0.000000000000e+00       9.507687187843e-12       1.381340252409e-12      -7.088312045380e-15 
  106       3.802962384590e-10       1.135519368245e-13      -3.571279612750e-12       0.000000000000e+00       9.271896994654e-12       1.354246347313e-12      -6.995834279031e-15 
  107       3.845251529871e-10       1.153407418649e-13      -3.657790898654e-12       0.000000000000e+00       9.043566690301e-12       1.327780275799e-12      -6.914014134605e-15 
  108       3.887777474214e-10       1.170974507691e-13      -3.743885059772e-12       0.000000000000e+00       8.822334777929e-12       1.301823443178e-12      -6.839623837766e-15 
  109       3.930530565568e-10       1.188200782382e-13      -3.829489512862e-12       0.000000000000e+00       8.607989127936e-12       1.276430244773e-12      -6.771524528978e-15 
  110       3.973497599484e-10       1.205067304642e-13      -3.914538328431e-12       0.000000000000e+00       8.400312322333e-12       1.251701920850e-12      -6.709063180712e-15 
  111       4.016663551607e-10       1.221555085786e-13      -3.998965467213e-12       0.000000000000e+00       8.199026221290e-12       1.227742308002e-12      -6.651508880795e-15 
  112       4.060014505875e-10       1.237645771758e-13      -4.082704866340e-12       0.000000000000e+00       8.003833105237e-12       1.204616224724e-12      -6.597381677182e-15 
  113       4.103546976581e-10       1.253323780180e-13      -4.165690629524e-12       0.000000000000e+00       7.814548864422e-12       1.182218664865e-12      -6.542347602245e-15 
  114       4.147259660029e-10       1.268574447781e-13      -4.247856931417e-12       0.000000000000e+00       7.630983241249e-12       1.160389091810e-12      -6.481053848462e-15 
  115       4.191150528565e-10       1.283383390884e-13      -4.329138008882e-12       0.000000000000e+00       7.452896982472e-12       1.138951208574e-12      -6.407765921527e-15 
  116       4.235215434415e-10       1.297736256526e-13      -4.409466280145e-12       0.000000000000e+00       7.280040152677e-12       1.117762616752e-12      -6.318426359231e-15 
  117       4.279443787033e-10       1.311617911273e-13      -4.488766361420e-12       0.000000000000e+00       7.112275365453e-12       1.096871468320e-12      -6.217132772311e-15 
  118       4.323822296452e-10       1.325013179859e-13      -4.566960390968e-12       0.000000000000e+00       6.949466964123e-12       1.076378223363e-12      -6.110435334736e-15 
  119       4.368336256116e-10       1.337907111062e-13      -4.643969903841e-12       0.000000000000e+00       6.791441599365e-12       1.056387364991e-12      -6.005349940487e-15 
  120       4.412969503451e-10       1.350284989507e-13      -4.719715853002e-12       0.000000000000e+00       6.637987174316e-12       1.037007455725e-12      -5.909368096989e-15 
  121       4.457706881855e-10       1.362132683410e-13      -4.794120667251e-12       0.000000000000e+00       6.488886694246e-12       1.018326426760e-12      -5.828657064964e-15 
  122       4.502542036252e-10       1.373437708611e-13      -4.867114652046e-12       0.000000000000e+00       6.344026540860e-12       1.000334057973e-12      -5.762401184835e-15 
  123       4.547470457450e-10       1.384188311548e-13      -4.938630379039e-12       0.000000000000e+00       6.203298908459e-12       9.829905138621e-13      -5.707815624822e-15 
  124       4.592487043314e-10       1.394373158825e-13      -5.008600753464e-12       0.000000000000e+00       6.066567267891e-12       9.662501570600e-13      -5.661892225531e-15 
  125       4.637586079689e-10       1.403981351750e-13      -5.076959051827e-12       0.000000000000e+00       5.933665595396e-12       9.500614033885e-13      -5.621394681934e-15 
  126       4.682760161604e-10       1.413002544789e-13      -5.143638037521e-12       0.000000000000e+00       5.804423796890e-12       9.343637770363e-13      -5.583037662279e-15 
  127       4.727996860501e-10       1.421427285011e-13      -5.208567115227e-12       0.000000000000e+00       5.678748849553e-12       9.190790104302e-13      -5.544057157914e-15 
  128       4.773281645204e-10       1.429246738351e-13      -5.271674926778e-12       0.000000000000e+00       5.556551353941e-12       9.041186672958e-13      -5.501695350086e-15 
  129       4.818598881340e-10       1.436452604284e-13      -5.332890275067e-12       0.000000000000e+00       5.437719585605e-12       8.893866887660e-13      -5.453019004659e-15 
  130       4.863931804308e-10       1.443037131138e-13      -5.392142154823e-12       0.000000000000e+00       5.322118920373e-12       8.747792274434e-13      -5.394916033453e-15 
  131       4.909264400006e-10       1.448993272567e-13      -5.449360821229e-12       0.000000000000e+00       5.209611436026e-12       8.602211399480e-13      -5.325361420773e-15 
  132       4.954587334081e-10       1.454315143554e-13      -5.504481061027e-12       0.000000000000e+00       5.100118331060e-12       8.457802738106e-13      -5.247376917283e-15 
  133       4.999892615343e-10       1.458997642894e-13      -5.557439334785e-12       0.000000000000e+00       4.993563196301e-12       8.315652759562e-13      -5.165494784491e-15 
  134       5.045171731800e-10       1.463036332601e-13      -5.608172808350e-12       0.000000000000e+00       4.889852012888e-12       8.176901292988e-13      -5.084532118618e-15 
  135       5.090415636865e-10       1.466427454204e-13      -5.656619390816e-12       0.000000000000e+00       4.788872717573e-12       8.042742412000e-13      -5.009596220858e-15 
  136       5.135614419901e-10       1.469168055782e-13      -5.702717604893e-12       0.000000000000e+00       4.690512292839e-12       7.914046549252e-13      -4.944540100615e-15 
  137       5.180756308339e-10       1.471256353491e-13      -5.746406102348e-12       0.000000000000e+00       4.594710968419e-12       7.790180509796e-13      -4.887135907406e-15 
  138       5.225828534934e-10       1.472691438776e-13      -5.787624169800e-12       0.000000000000e+00       4.501412870969e-12       7.670065585881e-13      -4.833406320022e-15 
  139       5.270817628414e-10       1.473473187872e-13      -5.826311928337e-12       0.000000000000e+00       4.410548687203e-12       7.552543753747e-13      -4.779124716620e-15 
  140       5.315709397649e-10       1.473602278813e-13      -5.862410370406e-12       0.000000000000e+00       4.322035342066e-12       7.436376118731e-13      -4.719810563009e-15 
  141       5.360488915827e-10       1.473080208442e-13      -5.895861396711e-12       0.000000000000e+00       4.235775676898e-12       7.320241360365e-13      -4.650724800941e-15 
  142       5.405141380873e-10       1.471909366522e-13      -5.926608210740e-12       0.000000000000e+00       4.151673330961e-12       7.203156753637e-13      -4.568487117696e-15 
  143       5.449654827094e-10       1.470093230456e-13      -5.954596468873e-12       0.000000000000e+00       4.069679742699e-12       7.085791956775e-13      -4.476119725436e-15 
  144       5.494017655721e-10       1.467636222429e-13      -5.979773315827e-12       0.000000000000e+00       3.989751256143e-12       6.969284176516e-13      -4.378501226287e-15 
  145       5.538217772438e-10       1.464543671253e-13      -6.002087075996e-12       0.000000000000e+00       3.911834109340e-12       6.854828312993e-13      -4.280794911545e-15 
  146       5.582242576732e-10       1.460821829715e-13      -6.021487292451e-12       0.000000000000e+00       3.835864202371e-12       6.743677902082e-13      -4.188453734604e-15 
  147       5.626078951243e-10       1.456477891921e-13      -6.037924765951e-12       0.000000000000e+00       3.761766865368e-12       6.637146057755e-13      -4.107225283896e-15 
  148       5.669713625246e-10       1.451520018788e-13      -6.051351720845e-12       0.000000000000e+00       3.689467779058e-12       6.536235165143e-13      -4.041499815213e-15 
  149       5.713134326854e-10       1.445957380673e-13      -6.061722238495e-12       0.000000000000e+00       3.618927406059e-12       6.440483939977e-13      -3.989165274103e-15 
  150       5.756328721659e-10       1.439800151873e-13      -6.068991939903e-12       0.000000000000e+00       3.550109438547e-12       6.349010973338e-13      -3.946265557931e-15 
  151       5.799284040004e-10       1.433059520105e-13      -6.073117901902e-12       0.000000000000e+00       3.482969772803e-12       6.260874970321e-13      -3.908609081522e-15 
  152       5.841987068361e-10       1.425747703892e-13      -6.074058696856e-12       0.000000000000e+00       3.417456337924e-12       6.175073672165e-13      -3.871764733548e-15 
  153       5.884424140726e-10       1.417877969961e-13      -6.071774432351e-12       0.000000000000e+00       3.353508924519e-12       6.090542778377e-13      -3.831057832913e-15 
  154       5.926581501512e-10       1.409464581940e-13      -6.066226794592e-12       0.000000000000e+00       3.291067593509e-12       6.006382531540e-13      -3.782674632785e-15 
  155       5.968446450071e-10       1.400522604530e-13      -6.057379099561e-12       0.000000000000e+00       3.230099136539e-12       5.922563280725e-13      -3.727099093671e-15 
  156       6.010006285935e-10       1.391068114341e-13      -6.045196322311e-12       0.000000000000e+00       3.170572743836e-12       5.839283323841e-13      -3.665987258831e-15 
  157       6.051247940113e-10       1.381118283857e-13      -6.029645133087e-12       0.000000000000e+00       3.112451516656e-12       5.756747167699e-13      -3.601088750738e-15 
  158       6.092157968344e-10       1.370691398488e-13      -6.010693937033e-12       0.000000000000e+00       3.055692339123e-12       5.675165594655e-13      -3.534248300401e-15 
  159       6.132722544356e-10       1.359806873618e-13      -5.988312913912e-12       0.000000000000e+00       3.000245750066e-12       5.594755729246e-13      -3.467407276670e-15 
  160       6.172928029493e-10       1.348485100876e-13      -5.962474106938e-12       0.000000000000e+00       2.946063118642e-12       5.515702193023e-13      -3.402204811633e-15 
  161       6.212762752749e-10       1.336746935793e-13      -5.933151614759e-12       0.000000000000e+00       2.893119157913e-12       5.438036544564e-13      -3.338738077799e-15 
  162       6.252215376959e-10       1.324614196924e-13      -5.900321492513e-12       0.000000000000e+00       2.841391178796e-12       5.361747190425e-13      -3.276694119108e-15 
  163       6.291274332634e-10       1.312109848638e-13      -5.863961743874e-12       0.000000000000e+00       2.790851873031e-12       5.286817218596e-13      -3.215740002086e-15 
  164       6.329927813898e-10       1.299258017372e-13      -5.824052360990e-12       0.000000000000e+00       2.741469219045e-12       5.213224283882e-13      -3.155522479921e-15 
  165       6.368163774431e-10       1.286084007882e-13      -5.780575364431e-12       0.000000000000e+00       2.693206387807e-12       5.140940493273e-13      -3.095667656542e-15 
  166       6.405969923406e-10       1.272614319497e-13      -5.733514843131e-12       0.000000000000e+00       2.646021648695e-12       5.069932291320e-13      -3.035780650691e-15 
  167       6.443333840680e-10       1.258876379003e-13      -5.682856697652e-12       0.000000000000e+00       2.599874436759e-12       5.000167435954e-13      -2.975537961158e-15 
  168       6.480243341923e-10       1.244897679657e-13      -5.628587761653e-12       0.000000000000e+00       2.554744333112e-12       4.931636834485e-13      -2.914974115873e-15 
  169       6.516686137014e-10       1.230706599471e-13      -5.570696681571e-12       0.000000000000e+00       2.510613531486e-12       4.864334360139e-13      -2.854218953647e-15 
  170       6.552649710078e-10       1.216332692896e-13      -5.509174244929e-12       0.000000000000e+00       2.467460755298e-12       4.798249845633e-13      -2.793407184150e-15 
  171       6.588121315926e-10       1.201806705855e-13      -5.444013419017e-12       0.000000000000e+00       2.425261189872e-12       4.733368998884e-13      -2.732678448489e-15 
  172       6.623087976512e-10       1.187160590788e-13      -5.375209389560e-12       0.000000000000e+00       2.383986414649e-12       4.669673318704e-13      -2.672177379778e-15 
  173       6.657536477375e-10       1.172427521689e-13      -5.302759599399e-12       0.000000000000e+00       2.343604335402e-12       4.607140010512e-13      -2.612053663714e-15 
  174       6.691453985716e-10       1.157641503473e-13      -5.226663553528e-12       0.000000000000e+00       2.304083584346e-12       4.545731533336e-13      -2.552415277450e-15 
  175       6.724829968861e-10       1.142836132691e-13      -5.146922135384e-12       0.000000000000e+00       2.265407266885e-12       4.485363455998e-13      -2.493183779609e-15 
  176       6.757654426986e-10       1.128045763593e-13      -5.063538308413e-12       0.000000000000e+00       2.227560217031e-12       4.425933791982e-13      -2.434227218416e-15 
  177       6.789917284566e-10       1.113305917992e-13      -4.976517382134e-12       0.000000000000e+00       2.190524581160e-12       4.367333006647e-13      -2.375405762312e-15 
  178       6.821608389269e-10       1.098653298709e-13      -4.885867049892e-12       0.000000000000e+00       2.154279767834e-12       4.309443892075e-13      -2.316571576016e-15 
